,CASH
409,422390017.3
410,422279569.5
411,423183317.9
412,423433274.6
413,424896435.7
414,422737420.9
415,429613745.3
416,423539581.9
417,423539581.9
418,423527534.9
419,423356419.2
420,421093729.4
421,420327067.3
422,416209225.1
423,414214233.8
424,414214233.8
425,418583497.7
426,415801863.8
427,418107534.2
428,419865744.2
429,415132157.3
430,419112999.5
431,417975599.7
432,417936320.1
433,417047804.2
434,417047804.2
435,420385604.8
436,421490561.7
437,422051428.1
438,418486270
439,414108774.8
440,416993875.4
441,416993875.4
442,420247031.3
443,421118024.5
444,420928682.3
445,424198784
446,425119881.7
447,423773138.6
448,416280017.8
449,420435439.9
450,421459088.9
451,420030198.7
452,418976896.6
453,417073337
454,416293314.7
455,416293314.7
456,416293314.7
457,416293314.7
458,413096514.8
459,413392894.8
460,413590126.7
461,412543318.1
462,423894924.3
463,425679235.9
464,423166853.4
465,427827225.6
466,419071090.4
467,418039923.6
468,417702350.5
469,417702350.5
470,420610595.6
471,418386355.4
472,417702255.2
473,416851735.4
474,416851735.4
475,416847208.3
476,422126327.9
477,427483991.8
478,425535721.4
479,434986396.8
480,433292031.3
481,435910061.5
482,437001062.9
483,439118517.8
484,436278098.2
485,436723278.7
486,435489157.1
487,429677394.8
488,429402340.8
489,429360063.6
490,430940765.5
491,428915453.3
492,427492882.5
493,428079293.8
494,433811574.6
495,434513317.5
496,431853498.4
497,432936286.3
498,428507448.3
499,430625198.9
500,433540447.1
501,430580064.9
502,434006648.4
503,433340058.2
504,436580274.2
505,443047003.7
506,437145675.9
507,436624274.2
508,437900096.7
509,437900096.7
510,439911434.6
511,439484643.2
512,441035913.4
513,439157316.8
514,438117276.8
515,438989852.9
516,437833255.7
517,439004418
518,441715528.9
519,444427605.1
520,448154468
521,554009567.9
